,Bihar_s(t),Bihar_e(t),Bihar_i(t),Bihar_r(t),UttarPradesh_s(t),UttarPradesh_e(t),UttarPradesh_i(t),UttarPradesh_r(t),Haryana_s(t),Haryana_e(t),Haryana_i(t),Haryana_r(t),MadhyaPradesh_s(t),MadhyaPradesh_e(t),MadhyaPradesh_i(t),MadhyaPradesh_r(t)
53,0.9999803856677456,5.809040393831995e-06,3.4930011105331533e-06,1.0433258491876783e-05,0.9999739473719672,6.7610629445118855e-06,4.257428494757249e-06,1.532527583429359e-05,0.9999118775547735,2.127154173902043e-05,1.369330652673729e-05,5.4398976270838304e-05,0.9999772359069713,5.215106148160814e-06,3.415276515348132e-06,1.4592533894619177e-05
54,0.9999786711369404,6.3102476612541626e-06,3.7943214110567005e-06,1.1345261729110902e-05,0.9999720731669336,7.234532461151723e-06,4.555660599415119e-06,1.6427779246613326e-05,0.9999061551052675,2.2603330055789208e-05,1.4551269108840628e-05,5.793167487801103e-05,0.9999758652406031,5.512417111648998e-06,3.609978976900208e-06,1.547118683777578e-05
55,0.9999768136597281,6.853198377962581e-06,4.1208060848474065e-06,1.2333303550840883e-05,0.9999700714456172,7.740288257537183e-06,4.874108916767229e-06,1.7605296449153825e-05,0.9999000834086806,2.401700183160889e-05,1.546096992374299e-05,6.167999887408835e-05,0.9999744183781369,5.826250980893279e-06,3.8155085826120695e-06,1.6398685828977852e-05
56,0.9999747965362624,7.442761050972448e-06,4.475402800070838e-06,1.3406267628387071e-05,0.9999679300221432,8.28142005718845e-06,5.214700615082547e-06,1.8864996425270698e-05,0.9998936325540485,2.551955570847582e-05,1.6426850585918673e-05,6.566241896717872e-05,0.9999728893625575,6.157899792094264e-06,4.0327113272306865e-06,1.7378849852639473e-05
57,0.999972605074401,8.083213411413045e-06,4.860710341903759e-06,1.4571969587442373e-05,0.9999656380999468,8.860674201934815e-06,5.579134291557389e-06,2.0213230800459237e-05,0.9998867759312512,2.7117286713807415e-05,1.745279401392347e-05,6.989536733122285e-05,0.9999712728926646,6.508512954616573e-06,4.262340462629148e-06,1.841507744753713e-05
58,0.9999702237243621,8.779134789951812e-06,5.279427163750817e-06,1.5838681426040445e-05,0.9999631847245417,9.480764249843722e-06,5.969206225177801e-06,2.1656444223981897e-05,0.9998794872044308,2.881590621493763e-05,1.854316095059898e-05,7.439510771383405e-05,0.9999695637087911,6.879233536775077e-06,4.50514063313021e-06,1.9510740568345876e-05
59,0.9999676348386656,9.535842198100523e-06,5.734495497050751e-06,1.721579138110479e-05,0.9999605585551815,1.0144323573338875e-05,6.386951614344525e-06,2.3201308871481072e-05,0.9998717407085459,3.06196980078393e-05,1.970348084688484e-05,7.917749190949032e-05,0.9999677566528543,7.271189097341894e-06,4.76183542989109e-06,2.0669146147816256e-05
60,0.9999648220649918,1.0358197188610104e-05,6.228707059856759e-06,1.871199850156456e-05,0.9999577484896045,1.0854035053048263e-05,6.834258143880587e-06,2.4854356439306716e-05,0.9998635103643799,3.2533827299312384e-05,2.093856157019819e-05,8.425862606069292e-05,0.9999658465040511,7.685516770987956e-06,5.033161442710305e-06,2.189364126452257e-05
61,0.9999617689983977,1.1251046417262779e-05,6.764893095239423e-06,2.033602983155862e-05,0.9999547433272862,1.1612648687965163e-05,7.312986836479654e-06,2.6622176430145738e-05,0.9998547696976271,3.456385379095927e-05,2.2252967647831674e-05,8.965486024418211e-05,0.9999638280043578,8.123360175227078e-06,5.319862137857054e-06,2.31875968584204e-05
62,0.9999584545976435,1.2219853269580773e-05,7.347437560256542e-06,2.2099079268397608e-05,0.9999515282114614,1.2424867507226907e-05,7.824550612246395e-06,2.8513509659968518e-05,0.9998454807877115,3.672537762521326e-05,2.3645599280426036e-05,9.538961469295426e-05,0.9999616948144595,8.58605839409345e-06,5.622873475841019e-06,2.455507719981392e-05
63,0.9999548547704769,1.32718790360506e-05,7.980354265464969e-06,2.401396396348331e-05,0.9999480878990975,1.3294268929187796e-05,8.371646813918135e-06,3.053732440014289e-05,0.9998356091099292,3.902464511399203e-05,2.512340946326745e-05,0.00010148421480365287,0.9999594400952788,9.075102779551416e-06,5.943158465581724e-06,2.6000467005337862e-05
64,0.9999509447852006,1.4414716745792074e-05,8.667624453414847e-06,2.6093841341981553e-05,0.9999444070814222,1.4224229397575234e-05,8.957200752980275e-06,3.270262766805554e-05,0.9998251209039172,4.146607033310301e-05,2.6694890507858905e-05,0.00010795951455194896,0.9999570569374611,9.59200934020161e-06,6.281680666814233e-06,2.7528196061131883e-05
65,0.9999466955765315,1.5656704746380367e-05,9.414511844197348e-06,2.835417461980459e-05,0.9999404672481425,1.521961885262695e-05,9.583962009632445e-06,3.502031023611454e-05,0.9998139731473557,4.4060963358419114e-05,2.8365179593081214e-05,0.00011484208900299995,0.999954537372885,1.0138499483525866e-05,6.639578145924092e-06,2.914337301475618e-05
66,0.9999420799797477,1.70057751179565e-05,1.0225796766313522e-05,3.080941610981588e-05,0.9999362515609629,1.6284696157735372e-05,1.0254602821312357e-05,3.7500279298987573e-05,0.9998021275200559,4.681826799192642e-05,3.013998126947712e-05,0.00012215560999288862,0.9999518741883686,1.0716137163014283e-05,7.017875457636804e-06,3.085062253993603e-05
67,0.9999370674110879,1.8470884487878278e-05,1.1106834753586334e-05,3.347583741244657e-05,0.9999317413459003,1.7424153270378158e-05,1.0972117777388e-05,4.015352229282338e-05,0.9997895418783809,4.9747615218017626e-05,3.202577327103639e-05,0.00012992611244029375,0.9999490594590326,1.1326641605225991e-05,7.417697231970308e-06,3.265502565944778e-05
68,0.9999316241005755,2.0061893204231288e-05,1.2063568269367033e-05,3.637140569265984e-05,0.9999269162756679,1.864313274613482e-05,1.173973116982091e-05,4.299199965708402e-05,0.9997761705826285,5.285967069248269e-05,3.402933351237078e-05,0.00013818179247695436,0.9999460846822743,1.1971856146596235e-05,7.84025124003186e-06,3.456203386837153e-05
69,0.9999257166309486,2.1788561569936378e-05,1.3101874045877606e-05,3.9513901177267635e-05,0.9999217567414875,1.994659116227156e-05,1.2560557107073417e-05,4.6027249484023235e-05,0.9997619701382182,5.6164573101023e-05,3.615714429036731e-05,0.00014694952370068715,0.9999429418227921,1.265352284478513e-05,8.286678727693353e-06,3.6576799164678474e-05
70,0.9999192994997266,2.3664176414497413e-05,1.4229757850115913e-05,4.292753375052767e-05,0.9999162357003241,2.1341368733953918e-05,1.3438886182454091e-05,4.927518400042304e-05,0.9997468801882627,5.967642008254366e-05,3.841817461246841e-05,0.000156266596352516,0.9999396196842096,1.3374069007310358e-05,8.758570060172723e-06,3.870650025217506e-05
71,0.9999123271732823,2.570203699656177e-05,1.5455226722621834e-05,4.663653074027894e-05,0.9999103267201398,2.2834146101512482e-05,1.4378916605660857e-05,5.2751356393872025e-05,0.9997308423853327,6.340880847590017e-05,4.082112333966946e-05,0.0001661690621619419,0.9999361075235818,1.4135823674157654e-05,9.257451037712736e-06,4.0958025235618686e-05
72,0.9999047513287569,2.7916264089872266e-05,1.678676962653383e-05,5.066660526851088e-05,0.9999040029833567,2.4431690893094726e-05,1.5384917320827717e-05,5.6471547670244586e-05,0.9997137988300432,6.73751645759668e-05,4.337468254954586e-05,0.00017669270214152092,0.9999323948443442,1.4941062551256866e-05,9.784812129792281e-06,4.33381045041026e-05
73,0.9998965250264811,3.032057078852282e-05,1.8232636882486478e-05,5.50427335897754e-05,0.9998972378142204,2.6140740510497075e-05,1.646112963602697e-05,6.045145487398222e-05,0.9996956912387199,7.158903980873784e-05,4.608756929329058e-05,0.00018787353148819462,0.9999284709911174,1.579209573100019e-05,1.0342166543351884e-05,4.585357013742293e-05
74,0.9998875894488026,3.2932146560995534e-05,1.9803157521397317e-05,5.979621485683493e-05,0.9998899991074646,2.7969393405780228e-05,1.7612667022887875e-05,6.470997134761204e-05,0.9996764507983943,7.606637112952567e-05,4.8970129737568406e-05,0.00019975408004886837,0.9999243235470185,1.6691615218583238e-05,1.093127728864067e-05,4.851238400343709e-05
75,0.9998778823248177,3.5769191580198756e-05,2.150926487794265e-05,6.496018646601249e-05,0.9998822531841443,2.9926142462667905e-05,1.8844895786960598e-05,6.926691684693573e-05,0.9996560056507972,8.082378506564954e-05,5.203318156392553e-05,0.0002123787618834384,0.9999199395866294,1.76424232753781e-05,1.1553979490362693e-05,5.132283413407229e-05
